"file_ref"	"name"	"addr1"	"addr2"	"addr3"	"addr4"	"addr5"	"c_o"	
"4/6816/56(11)"	"Union (Luen Hop) Refrigeration Co., Ltd."	"Ground Floor,"	"1a On Lok Lane,"	"Wan Chai,"	"Hong Kong."	""	""	
"4/6816/56(110)"	"Cheung Tung Kee Engineering Co."	"9th Floor,"	"Hang Wai Commercial Building,"	"231-233 Queen's Road East,"	"Hong Kong."	""	""	
"4/6816/56(112)"	"Eastman Engineers And Traders Co., Ltd."	"Room 1706,"	"Pakpolee Commercial Centre,"	"1a Sai Yeung Choi Street South,"	"Mong Kok, Kowloon."	""	""	
"4/6816/56(119)"	"Guardian Fire Engineers & Consultants Ltd."	"Unit 2, 13th Floor,"	"Tak King Industrial Building,"	"27 Lee Chung Street,"	"Chai Wan, Hong Kong."	""	""	
"4/6816/56(12)"	"Hong Kong L.p. Gas (Holding) Ltd."	"13th Floor,"	"Sunbeam Commercial Building,"	"469-471 Nathan Road,"	"Kowloon."	""	""	
"4/6816/56(122)"	"Cheung Hing Kam Kee Air-condition Works"	"Ground Floor,"	"206 Yee Kuk Street,"	"Kowloon."	""	""	""	
"4/6816/56(123)"	"Sunny Engineering Co."	"Flat I, 1st Floor,"	"Sun Wing Building,"	"27 Fuk Wing Street,"	"Sham Shui Po, Kowloon."	""	""	
"4/6816/56(13)"	"Lee Hing Refrigeration Service Co., Ltd."	"Ground Floor,"	"2 St. Francis Yard,"	"Wan Chai,"	"Hong Kong."	""	""	
"4/6816/56(131)"	"Lau Yan Refrigeration Service"	"Ground Floor,"	"Mei Fai Mansion,"	"110 Jaffe Road,"	"Wan Chai, Hong Kong."	""	""	
"4/6816/56(136)"	"Capitol Electric & Electronic Engineering Co."	"Mezzanine Floor,"	"2 Morrison Hill Road,"	"Wan Chai,"	"Hong Kong."	""	""	
"4/6816/56(14)"	"Chung Hing Engineers Ltd."	"2nd Floor,"	"18 Sing Woo Road,"	"Happy Valley,"	"Hong Kong."	""	""	
"4/6816/56(140)"	"Hang Cheong Air-conditioning Works"	"Block D12,"	"694 King's Road,"	"North Point,"	"Hong Kong."	""	""	
"4/6816/56(17)"	"Gilman & Co., Ltd."	"18th Floor,"	"Tai Yau Building Refrigeration"	"Department,         181 Johnston Road,"	"Wan Chai, Hong Kong."	""	""	
"4/6816/56(18)"	"Tung Hing Engineering Co., Ltd."	"Flat 16, 26th Floor,"	"Hin Tsui House,"	"Kai Tsui Court,"	"Siu Sai Wan, Hong Kong."	""	""	
"4/6816/56(19)"	"Associated Consulting Engineers"	"4th Floor,"	"88 Hing Fat Street,"	"Causeway Bay,"	"Hong Kong."	""	""	
"4/6816/56(2)"	"Lee On Engineering Co., Ltd."	"Ground Floor,"	"8a Wing Hing Street,"	"Hong Kong."	""	""	""	
"4/6816/56(20)"	"Shun Tai Air-conditioning Co."	"Ground Floor,"	"31 Amoy Street,"	"Wan Chai,"	"Hong Kong."	""	""	
"4/6816/56(23)"	"Cheong Ming Engineering Co."	"Flat A, 32th Floor, Block 5,"	"On Ning Garden,"	"Tseung Kwan O,"	"New Territories."	""	""	
"4/6816/56(25)"	"Wo Kee Hong Ltd."	"5th Floor,"	"Loke Yew Building,"	"50-52 Queen's Road Central,"	"Hong Kong."	""	""	
